Sn Oxide,,SnSiO2 0.13%,,SnSiO2 0.5%,,SnSiO2 2%,,SnSiO2 6%,
wavelength (nm),intensity,wavelength (nm),intensity,wavelength (nm),intensity,wavelength (nm),intensity,wavelength (nm),intensity
232.5200104414,20.6875963574,232.5200104414,31.7058797398,232.5200104414,23.9605804116,232.5200104414,22.5212237269,232.5200104414,20.9796529287
232.9900104604,21.3844256503,232.9900104604,31.1608297701,232.9900104604,23.9681046431,232.9900104604,23.1416807703,232.9900104604,21.6807421047
233.4600104828,21.8906901907,233.4600104828,30.9172602118,233.4600104828,24.0276357656,233.4600104828,23.7162658054,233.4600104828,22.2399378554
233.9200105036,22.5031834304,233.9200105036,30.5609258032,233.9200105036,23.9332287465,233.9200105036,24.3499039022,233.9200105036,22.6038686891
234.3900105252,23.0688603063,234.3900105252,30.0892910288,234.3900105252,23.9925503843,234.3900105252,24.6709359998,234.3900105252,22.9673472928
234.8600105445,23.5366966417,234.8600105445,29.8534953189,234.8600105445,23.9999556701,234.8600105445,24.9927730248,234.8600105445,23.4343632992
235.3300105671,24.0589889416,235.3300105671,29.6769379112,235.3300105671,23.9041861974,235.3300105671,25.368441955,235.3300105671,23.7498830856
235.7900105877,24.4307917906,235.7900105877,29.2760570512,235.7900105877,23.7597191927,235.7900105877,25.5877429582,235.7900105877,24.0682837427
236.260010607,24.9065305363,236.260010607,28.9899136985,236.260010607,23.716366516,236.260010607,25.9116858359,236.260010607,24.4892557316
236.7300106288,25.2268612371,236.7300106288,28.7063034505,236.7300106288,23.6222878016,236.7300106288,26.0221944468,236.7300106288,24.755586194
237.2000106482,25.547957144,237.2000106482,28.3138408636,237.2000106482,23.427459953,237.2000106482,26.2930668472,237.2000106482,25.1269887403
237.6600106701,25.8719787593,237.6600106701,27.8728539797,237.6600106701,23.2361599339,237.6600106701,26.5127465362,237.6600106701,25.2914938836
238.1300106937,26.1413102745,238.1300106937,27.3257318263,238.1300106937,22.9944823198,238.1300106937,26.784105382,238.1300106937,25.7171175517
238.6000107123,26.304256261,238.6000107123,26.8399707461,238.6000107123,22.8046149816,238.6000107123,26.8399707461,238.6000107123,25.8795729232
239.060010734,26.4692791523,239.060010734,26.4159405681,239.060010734,22.6181688154,239.060010734,26.8979244768,239.060010734,26.2562475905
239.530010754,26.5252162182,239.530010754,25.9419709144,239.530010754,22.3823232017,239.530010754,26.9534670765,239.530010754,26.3123768276
240.0000107766,26.6342881043,240.0000107766,25.5262974918,240.0000107766,22.1972816911,240.0000107766,27.0088490852,240.0000107766,26.5277510586
240.4700107969,26.6898563591,240.4700107969,25.0639348643,240.4700107969,21.9170697858,240.4700107969,26.7431561089,240.4700107969,26.6366097762
240.9300108159,26.9074104234,240.9300108159,24.7118404757,240.9300108159,21.5936640073,240.9300108159,26.8007409133,240.9300108159,26.9608246245
241.4000108408,26.909201839,241.4000108408,24.2096821062,241.4000108408,21.2721184196,241.4000108408,26.69648171,241.4000108408,27.0158784513
241.870010858,26.9641963958,241.870010858,23.664700686,241.870010858,20.9073167881,241.870010858,26.7516715384,241.870010858,27.1775621033
242.3300108811,27.0744810735,242.3300108811,23.0315895515,242.3300108811,20.5951744625,242.3300108811,26.7559605384,242.3300108811,27.1810734156
242.8000109035,27.1291120248,242.8000109035,22.5528344774,242.8000109035,20.284878261,242.8000109035,26.5997762173,242.8000109035,27.235605002
243.270010923,27.1304677572,243.270010923,21.9852366428,243.270010923,19.8416760702,243.270010923,26.4970934539,243.270010923,27.2899802078
243.7300109437,27.2932661602,243.7300109437,21.4759002028,243.7300109437,19.5863327515,243.7300109437,26.5018168443,243.7300109437,27.2932661602
244.2000109667,27.0825162095,244.2000109667,20.7871023452,244.2000109667,19.1983043568,244.2000109667,26.2956571425,244.2000109667,27.1353859211
244.6700109856,27.0312343553,244.6700109856,20.2486972852,244.6700109856,18.9036527934,244.6700109856,26.0910898548,244.6700109856,26.9785675692
245.1300110075,26.8249908828,245.1300110075,19.8109368702,245.1300110075,18.4832152489,245.1300110075,25.8902134638,245.1300110075,26.8249908828
245.6000110273,26.6181376656,245.6000110273,19.2448897807,245.6000110273,18.0675829902,245.6000110273,25.4335423122,245.6000110273,26.6181376656
246.0700110484,26.516552125,246.0700110484,18.6891623793,246.0700110484,17.6582378762,246.0700110484,25.2351318557,246.0700110484,26.5684690037
246.5300110682,26.3143951687,246.5300110682,18.2309134487,246.5300110682,17.1730514937,246.5300110682,24.889512656,246.5300110682,26.3143951687
247.0000110896,26.1116460217,247.0000110896,17.7362832273,247.0000110896,16.7771818209,247.0000110896,24.5953259735,247.0000110896,26.162971112
247.4700111138,26.012556681,247.4700111138,17.3336303648,247.4700111138,16.387405681,247.4700111138,24.3039957405,247.4700111138,26.0636870012
247.9300111301,25.8652300364,247.9300111301,16.8152041417,247.9300111301,15.8851412963,247.9300111301,23.9195028528,247.9300111301,25.9161207866
248.4000111553,25.767442941,248.4000111553,16.3052123956,248.4000111553,15.508986702,248.4000111553,23.5375874747,248.4000111553,25.8181412916
248.8700111757,25.5693441805,248.8700111757,15.8049558606,248.8700111757,15.0999917488,248.8700111757,23.3042461415,248.8700111757,25.5693441805
249.3300111948,25.3747876689,249.3300111948,15.3935055478,249.3300111948,14.7373068706,249.3300111948,22.9316920174,249.3300111948,25.2746899848
249.8000112139,25.2793919072,249.8000112139,14.8726983535,249.8000112139,14.4168573879,249.8000112139,22.7506865765,249.8000112139,25.2295065875
250.2700112368,25.134834963,250.2700112368,14.4003335699,250.2700112368,14.0639324555,250.2700112368,22.4770280996,250.2700112368,25.1845330922
250.7300112562,24.9932256394,250.7300112562,13.938431404,250.7300112562,13.6811685878,250.7300112562,22.207813424,250.7300112562,25.0922086144
251.2000112798,24.7522335564,251.2000112798,13.4846351744,251.2000112798,13.3761073646,251.2000112798,21.9857123022,251.2000112798,24.9984004514
251.6700112977,24.7088216384,251.6700112977,13.1112585046,251.6700112977,13.0044462529,251.6700112977,21.8115423446,251.6700112977,24.9543126464
252.1300113211,24.7653561283,252.1300113211,12.7806332988,252.1300113211,12.7104101717,252.1300113211,21.6862025887,252.1300113211,25.010677624
252.6000113442,24.7220681035,252.6000113442,12.3852340786,252.6000113442,12.3852340786,252.6000113442,21.4689051038,252.6000113442,25.0649158714
253.0700113614,24.6789785217,253.0700113614,11.9635666142,253.0700113614,12.0654560048,253.0700113614,21.1632544973,253.0700113614,24.9229610082
253.5300113849,24.5895056278,253.5300113849,11.6182159234,253.5300113849,11.7519496818,253.5300113849,20.9520047953,253.5300113849,24.93017755
254.0000114034,24.4502924264,254.0000114034,11.245496664,254.0000114034,11.5089254297,254.0000114034,20.6965039955,254.0000114034,24.8866797133
254.4600114254,24.458264596,254.4600114254,10.8810521527,254.4600114254,11.2048753264,254.4600114254,20.4891990926,254.4600114254,24.7967832642
254.9300114488,24.3201706646,254.9300114488,10.523067982,254.9300114488,10.9372599342,254.9300114488,20.2383067284,254.9300114488,24.7538055832
255.4000114677,24.1829737832,255.4000114677,10.1414135547,255.4000114677,10.6105001215,255.4000114677,19.9464893308,255.4000114677,24.7593104362
255.8600114899,24.0485465806,255.8600114899,9.7992501688,255.8600114899,10.352946454,255.8600114899,19.7454247504,255.8600114899,24.6703630068
256.330011511,23.9131086081,256.330011511,9.4634165422,256.330011511,10.0679582026,256.330011511,19.5445698492,256.330011511,24.5320385472
256.800011529,23.8256563029,256.800011529,9.1346356149,256.800011529,9.787968728,256.800011529,19.2182685789,256.800011529,24.3946071601
257.2600115486,23.7875160647,257.2600115486,8.7563842646,257.2600115486,9.4839615787,257.2600115486,18.9812553003,257.2600115486,24.3549915295
257.7300115742,23.6072500557,257.7300115742,8.4426061527,257.7300115742,9.1850970955,257.7300115742,18.7450961132,257.7300115742,24.2188724572
258.1900115938,23.5698097124,258.1900115938,8.10892254,258.1900115938,8.8927680649,258.1900115938,18.5127008975,258.1900115938,24.1326510154
258.6600116117,23.4842321507,258.6600116117,7.7825160143,258.6600116117,8.6055156353,258.6600116117,18.2811605377,258.6600116117,23.9511040742
259.1300116365,23.3528536511,259.1300116365,7.4378415364,259.1300116365,8.2964097388,259.1300116365,18.0519092535,259.1300116365,23.8175756677
259.5900116551,23.2241065747,259.5900116551,7.128206937,259.5900116551,7.9946618065,259.5900116551,17.7859919114,259.5900116551,23.6867268194
260.060011677,23.0485933087,260.060011677,6.8008020868,260.060011677,7.7254287822,260.060011677,17.5615657455,260.060011677,23.6011873161
260.520011698,22.9216788068,260.520011698,6.5069885206,260.520011698,7.4883502716,260.520011698,17.3010844675,260.520011698,23.4256886626
260.9900117201,22.8391968061,260.9900117201,6.2201874436,260.9900117201,7.1786548574,260.9900117201,16.9246871455,260.9900117201,23.2955131421
261.4600117387,22.6667634376,261.4600117387,5.9408464084,261.4600117387,6.9513902379,261.4600117387,16.5923696371,261.4600117387,23.2118364778
261.9200117591,22.4973165491,261.9200117591,5.6693235911,261.9200117591,6.6800630479,261.9200117591,16.2657639534,261.9200117591,23.1759306101
262.3900117792,22.4167931389,262.3900117792,5.4266508456,262.3900117792,6.4385283532,262.3900117792,15.9046067121,262.3900117792,23.0475866814
262.8500118031,22.2493146302,262.8500118031,5.1690497722,262.8500118031,6.2027529299,262.8500118031,15.5871801012,262.8500118031,22.8766563056
263.3200118212,22.1256421382,263.3200118212,4.9600629558,263.3200118212,5.9717225654,263.3200118212,15.2361054034,263.3200118212,22.795064077
263.7800118421,21.9603465328,263.7800118421,4.7155550959,263.7800118421,5.7237998248,263.7800118421,14.8913882443,263.7800118421,22.5814166254
264.2500118661,21.7945933243,264.2500118661,4.497586015,264.2500118661,5.4815540338,264.2500118661,14.658277046,264.2500118661,22.4122232935
264.7200118832,21.6736402613,264.7200118832,4.2661514678,264.7200118832,5.2453782382,264.7200118832,14.3567499077,264.7200118832,22.1119232109
265.180011909,21.5550763067,265.180011909,4.0607439689,265.180011909,5.0155907697,265.180011909,14.0604689024,265.180011909,21.9475734292
265.6500119294,21.306177604,265.6500119294,3.8424793347,265.6500119294,4.7913582593,265.6500119294,13.6980685213,265.6500119294,21.6957187488
266.1100119491,21.1467930714,266.1100119491,3.6490341155,266.1100119491,4.5733620256,266.1100119491,13.376716525,266.1100119491,21.5342071812
266.5800119683,20.9869792889,266.5800119683,3.460966978,266.5800119683,4.3608400233,266.5800119683,13.0592883291,266.5800119683,21.2005858446
267.04001199,20.8722927947,267.04001199,3.2787565831,267.04001199,4.1733548618,267.04001199,12.7477236799,267.04001199,20.999756882
267.5100120128,20.6723844091,267.5100120128,3.1018425608,267.5100120128,3.9903142378,267.5100120128,12.4073702433,267.5100120128,20.7990143392
267.9800120327,20.4741341342,267.9800120327,2.9146107806,267.9800120327,3.7939536972,267.9800120327,12.1049643794,267.9800120327,20.6840162495
268.4400120552,20.27903904,268.4400120552,2.7493310512,268.4400120552,3.6210337439,268.4400120552,11.7131729495,268.4400120552,20.3623204269
268.9100120754,20.125393254,268.9100120754,2.5892235515,268.9100120754,3.4353485014,268.9100120754,11.4527772656,268.9100120754,20.084046797
269.3700120965,19.892148914,269.3700120965,2.4346332226,269.3700120965,3.2720448534,269.3700120965,11.0741586814,269.3700120965,19.8511130324
269.8400121146,19.6188710025,269.8400121146,2.2851343557,269.8400121146,3.0806805713,269.8400121146,10.732453204,269.8400121146,19.6188710025
270.3000121355,19.3902306391,270.3000121355,2.154470071,270.3000121355,2.9272389308,270.3000121355,10.39803222,270.3000121355,19.4306479927
270.770012159,19.082191929,270.770012159,2.0149065002,270.770012159,2.7780130245,270.770012159,10.0692698422,270.770012159,19.082191929
271.2300121771,18.7790590228,271.2300121771,1.8931723087,271.2300121771,2.6185669147,271.2300121771,9.6906158106,271.2300121771,18.7394616506
271.7000121975,18.5172593308,271.7000121975,1.787674989,271.7000121975,2.4785147825,271.7000121975,9.3755847444,271.7000121975,18.5172593308
272.1600122216,18.3374826038,272.1600122216,1.6856745411,272.1600122216,2.3569143977,272.1600122216,9.0126983733,272.1600122216,18.2206216209
272.6300122421,18.1578529565,272.6300122421,1.5868827937,272.6300122421,2.2250152938,272.6300122421,8.7111342464,272.6300122421,18.0031541686
273.100012265,17.9797211688,273.100012265,1.4803308434,273.100012265,2.1237298178,273.100012265,8.4157129972,273.100012265,17.7112277697
273.5600122835,17.8043766033,273.5600122835,1.3885902323,273.5600122835,2.0124082318,273.5600122835,8.1011504467,273.5600122835,17.4618097497
274.0300123042,17.6672033073,274.0300123042,1.3103201545,274.0300123042,1.9168107296,274.0300123042,7.7930364372,274.0300123042,17.2889015613
274.4900123224,17.494499374,274.4900123224,1.2246492321,274.4900123224,1.8239877717,274.4900123224,7.4924662289,274.4900123224,17.1560860993
274.9600123452,17.3219573114,274.9600123452,1.1420635056,274.9600123452,1.7217874577,274.9600123452,7.1982594056,274.9600123452,16.874476786
275.4200123682,17.0404211332,275.4200123682,1.0720062671,275.4200123682,1.6344751887,275.4200123682,6.935110487,275.4200123682,16.7443933912
275.8900123879,16.8714757985,275.8900123879,1.0043160609,275.8900123879,1.5496021845,275.8900123879,6.7004758875,275.8900123879,16.5774252074
276.3500124106,16.7051514102,276.3500124106,0.9391201623,276.3500124106,1.4565259358,276.3500124106,6.4711248682,276.3500124106,16.4494174925
276.8200124302,16.5390046236,276.8200124302,0.8846597352,276.8200124302,1.3770200195,276.8200124302,6.201364442,276.8200124302,16.2127637784
277.2800124485,16.4116370878,277.2800124485,0.823924819,277.2800124485,1.3103141775,277.2800124485,5.9823271901,277.2800124485,16.0513486741
277.7500124713,16.2480020649,277.7500124713,0.7733158601,277.7500124713,1.2354442691,277.7500124713,5.7675187663,277.7500124713,15.8190308511
278.2100124937,16.1943167047,278.2100124937,0.7321323299,278.2100124937,1.1727344279,278.2100124937,5.557743146,278.2100124937,15.6255159797
278.6800125103,16.1755053415,278.6800125103,0.6847734048,278.6800125103,1.1117770082,278.6800125103,5.3521426946,278.6800125103,15.5027069601
279.1400125321,16.1222374358,279.1400125321,0.6463170332,279.1400125321,1.0527188795,279.1400125321,5.1313165149,279.1400125321,15.2775528994
279.6100125566,16.0680828413,279.6100125566,0.609049424,279.6100125566,1.0042551776,279.6100125566,4.9746573386,279.6100125566,15.1571040864
280.0700125781,16.0153442532,280.0700125781,0.5730488406,280.0700125781,0.9485162575,280.0700125781,4.8212846197,280.0700125781,15.0386076774
280.5400125973,15.9617268976,280.5400125973,0.5447233063,280.5400125973,0.8944798499,280.5400125973,4.6323454345,280.5400125973,14.8857767821
281.0000126169,15.9799845737,281.0000126169,0.5109165718,281.0000126169,0.8585360775,281.0000126169,4.4854129763,281.0000126169,14.7691761533
281.4700126399,15.9618398128,281.4700126399,0.4843759235,281.4700126399,0.8074743003,281.4700126399,4.3226728785,281.4700126399,14.6861134631
281.9300126599,15.8397081702,281.9300126599,0.4586606257,281.9300126599,0.7658719615,281.9300126599,4.1817293723,281.9300126599,14.5374492778
282.40001268,15.75215862,282.40001268,0.4336963165,282.40001268,0.7329467748,282.40001268,4.0256463109,282.40001268,14.4556957646
282.8600127,15.6662490643,282.8600127,0.4095389738,282.8600127,0.6935802661,282.8600127,3.8388803156,282.8600127,14.3422408405
283.3200127226,15.5463240474,283.3200127226,0.391606786,283.3200127226,0.6554228691,283.3200127226,3.6906866544,283.3200127226,14.1636451119
283.7900127427,15.4604967225,283.7900127427,0.3687805644,283.7900127427,0.6253102878,283.7900127427,3.5291924,283.7900127427,13.9857562055
284.2500127631,15.3420829602,284.2500127631,0.3467362041,284.2500127631,0.5893278825,284.2500127631,3.3720642828,284.2500127631,13.8105458171
284.7200127867,15.1894735102,284.7200127867,0.3304034037,284.7200127867,0.5544838113,284.7200127867,3.2187784295,284.7200127867,13.636042769
285.1800128024,15.1405112925,285.1800128024,0.314538558,285.1800128024,0.5271417489,285.1800128024,3.0697609919,285.1800128024,13.4641631061
285.6500128236,15.0570253294,285.6500128236,0.2990923008,285.6500128236,0.494417885,285.6500128236,2.9245334095,285.6500128236,13.2297665463
286.110012846,14.9750900719,286.110012846,0.2795028154,286.110012846,0.4687925479,286.110012846,2.7834792268,286.110012846,12.9990968074
